geo_cep;geo_uf;geo_cidade;geo_bairro
60055902;CE;FORTALEZA;CENTRO
60020001;CE;FORTALEZA;CENTRO
60115080;CE;FORTALEZA;MEIRELES
60841110;CE;FORTALEZA;MESSEJANA
60830005;CE;FORTALEZA;EDSON QUEIROZ
61605600;CE;CAUCAIA;IPARANA
62370000;CE;SAO BENEDITO;CENTRO
07600000;SP;MAIRIPORA;TERRA PRETA
60015001;CE;FORTALEZA;CENTRO
61930220;CE;MARACANAÚ;PLANALTO CIDADE NOVA
60520101;CE;FORTALEZA;JOQUEI CLUBE
60822130;CE;FORTALEZA;C. DOS FUNCIONARIOS
61900000;CE;MARACANAU ;PAJUCARA 
60851120;CE;FORTALEZA;AEROLANDIA
97546090;RS;ALEGRETE;OITAVO SUBDISTRITO
60840280;CE;FORTALEZA;MESSEJANA
60350485;CE;FORTALEZA;ANTÔNIO BEZERRA
62500000;CE;ITAPIPOCA;CENTRO
60130370;CE;FORTALEZA;TAUAPE
22640100;RJ;RIO DE JANEIRO;TIJUCA
60000000;CE;ARATUBA;PINDOBA
60860000;CE;FORTALEZA;CASTELAO
60810460;CE;FORTALEZA;L. CAVALCANTE
60356360;CE;FORTALEZA;PADRE ANDRADE
60135237;CE;FORTALEZA;DIONISIO TORRES
60000000;CE;FORTALEZA;SANTA ROSA
60817680;CE;FORTALEZA;MESSEJANA
61700000;CE;AQUIRAZ;ZONA RURAL
60125151;CE;FORTALEZA;ALDEOTA
61939130;CE;MARACANAU;DIST. IND. I
58310000;PB;CABEDELO;MORADA NOVA
60600000;CE;CAUCAIA;CENTRO
61936450;CE;MARACANAU;PAJUCARA
60000000;CE;FORTALEZA;PE. ANDRADE
62940000;CE;MORADA NOVA;PLANALTO AEROPORTO
60875250;CE;FORTALEZA;PAUPINA
61658000;CE;CAUCAIA;NOVA METROPOLE
62800000;CE;ARACATI;ALTO DA CHEIA
60341820;CE;FORTALEZA;BARRA DO CEARA
15650000;SP;ESTRELA D'OESTE;ZONA RURAL 
92850000;RS;PORTO ALEGRE;ROSINA
60720620;CE;FORTALEZA;PARANGABA
60830120;CE;FORTALEZA;CAMBEBA
61650160;CE;CAUCAIA;PARQUE POTIRA
60000000;CE;MARACANAU;PARQUE LUZARDO VIANA
62620000;CE;IRAUCUBA;CENTRO
60355840;CE;FORTALEZA;ALAGADICO
60750022;CE;FORTALEZA;JOSE WALTER
60822575;CE;FORTALEZA;DIAS MACEDO
63900000;CE;QUIXADA;CENTRO
60813270;CE;FORTALEZA;EDSON QUEIROZ
86610000;PR;JAGUAPITA;ZONA RURAL
6000000;CE;CHORO;CENTRO
61760000;CE;EUSEBIO;COACU
80420060;PR;CURITIBA;BATEL
08265380;SP;SAO PAULO;GLEBA DO PESSEGO
60521085;CE;FORTALEZA;HENRIQUE JORGE
60000000;CE;FORTALEZA;BOM SUCESSO
60356150;CE;FORTALEZA;PRESIDENTE KENEDY
03874100;SP;SAO PAULO;PONTE RASA
60740000;CE;FORTALEZA;SERRINHA
60864190;CE;FORTALEZA;MESSEJANA
60120002;CE;FORTALEZA ;ALDEOTA
60840040;CE;FORTALEZA;MESSEJANA
72851610;GO;LUZIANIA;DICAL
60000000;CE;FORTALEZA;MONDUBIM
60055402;CE;FORTALEZA;J. TAVORA
51240340;PE;RECIFE;SUL
62570000;CE;BELA CRUZ;CENTRO
64120000;PI;UNIÃO;ZONA RURAL
60710690;CE;FORTALEZA;MARAPONGA
61939000;CE;MARACANAU;CENTRO
60430170;CE;FORTALEZA;RODOLFO TEOFILO
60415540;CE;FORTALEZA;MONTESE
73020401;DF;BRASILIA;SOBRADINHO
60140190;CE;FORTALEZA;ALDEOTA
60192022;CE;FORTALEZA;COCÓ
60150162;CE;FORTALEZA;ALDEOTA
62011060;CE;SOBRAL;CENTRO
61760000;CE;EUSEBIO;MANGABEIRA
62840000;CE;BEBERIBE;PARAJURU
87160000;PR;MANDAGUACU;PAULO SALES II
60115000;CE;FORTALEZA;DIONISIO TORRES
60125151;CE;FORTALEZA;DIONISIO TORRES
60850690;CE;FORTALEZA;AEROLANDIA
25821120;RJ;TRES RIOS;PONTO AZUL
60160100;CE;FORTALEZA;JOAQUIM TÁVORA
60165082;CE;FORTALEZA;MUCURIPE
60175055;CE;FORTALEZA;PAPICU
62760000;CE;BATURITE;CONS. ESTELITA
61933615;CE;FORTALEZA;PQ NOVO MONDOBIM
62750000;CE;ARACOIABA;CENTRO
60822575;CE;FORTALEZA;CIDADE DOS  FUNCIONA
62840000;CE;BEBERIBE;PLANALTO BEBERIBE
60351100;CE;FORTALEZA;QUINTINO CUNHA
15503027;SP;SÃO PAULO;DISTRITO INDUSTRIAL
62580000;CE;ACARAU;CENTRO
60331100;CE;FORTALEZA;BARRA DO CEARÁ
60000000;CE;FORTALEZA;FORTALEZA
60035210;CE;FORTALEZA;CENTRO
60050080;CE;FORTALEZA;CENTRO
60416932;CE;FORTALEZA;MONTESE
